product_id,warehouse_id,change_qty,reason,date
PROD00423,WH007,9,Sale,2023-04-06
PROD00001,WH003,-17,Sale,2024-12-12
PROD00552,WH009,76,Sale,2024-08-23
PROD00490,WH000,86,Restock,2023-12-16
PROD00354,WH004,-42,Sale,2023-12-02
PROD00613,WH007,92,Return,2024-11-26
PROD00642,WH002,37,Restock,2023-11-10
PROD00572,WH006,16,Return,2024-07-14
PROD00081,WH003,84,Sale,2023-08-06
PROD00419,WH006,38,Return,2023-03-13
PROD00445,WH008,-18,Return,2024-12-02
PROD00100,WH001,-17,Return,2024-10-31
PROD00791,WH009,-14,Return,2024-09-21
PROD00108,WH007,44,Restock,2023-07-12
PROD00661,WH004,-14,Return,2023-01-11
PROD00669,WH003,81,Return,2023-10-07
PROD00468,WH001,55,Restock,2024-08-15
PROD00533,WH004,-14,Restock,2023-02-16
PROD00182,WH005,-28,Return,2023-08-21
PROD00088,WH007,60,Sale,2024-01-09
PROD00756,WH008,-25,Restock,2024-12-05
PROD00406,WH005,-24,Sale,2024-07-21
PROD00487,WH007,6,Return,2023-12-15
PROD00676,WH003,-8,Sale,2023-11-12
PROD00769,WH005,19,Return,2023-12-16
PROD00625,WH004,86,Restock,2024-12-22
PROD00343,WH003,41,Return,2023-01-21
PROD00652,WH008,-42,Restock,2023-02-10
PROD00741,WH005,52,Restock,2023-03-09
PROD00685,WH004,79,Restock,2024-04-30
PROD00473,WH003,-5,Sale,2024-05-05
PROD00580,WH004,-40,Restock,2023-10-21
PROD00297,WH003,42,Sale,2023-08-12
PROD00176,WH005,13,Return,2023-04-05
PROD00223,WH001,-37,Sale,2024-12-21
PROD00510,WH002,8,Sale,2024-08-05
PROD00207,WH000,-31,Restock,2024-02-07
PROD00428,WH000,63,Sale,2023-05-03
PROD00562,WH000,75,Return,2024-12-24
PROD00053,WH003,50,Restock,2024-03-19
PROD00695,WH008,10,Restock,2024-09-29
PROD00483,WH009,-50,Sale,2024-06-20
PROD00682,WH009,1,Restock,2023-11-23
PROD00293,WH006,76,Return,2023-07-06
PROD00203,WH004,81,Return,2024-04-08
PROD00517,WH001,55,Sale,2024-11-18
PROD00595,WH001,-2,Sale,2023-02-19
PROD00389,WH001,63,Restock,2024-02-20
PROD00637,WH002,-24,Restock,2024-04-30
PROD00178,WH002,56,Restock,2024-06-05
PROD00624,WH006,12,Sale,2023-08-20
PROD00371,WH009,-9,Sale,2024-08-18
PROD00736,WH006,24,Return,2024-05-17
PROD00635,WH000,21,Sale,2023-11-13
PROD00086,WH009,15,Restock,2024-04-09
PROD00781,WH007,46,Sale,2024-12-27
PROD00293,WH004,-30,Sale,2024-08-18
PROD00306,WH003,17,Sale,2023-10-14
PROD00179,WH008,22,Return,2023-10-27
PROD00348,WH004,90,Return,2023-12-25
PROD00111,WH002,92,Sale,2023-01-26
PROD00779,WH009,46,Restock,2024-12-04
PROD00492,WH009,98,Sale,2024-01-18
PROD00407,WH004,-12,Return,2023-05-21
PROD00122,WH000,40,Restock,2023-05-17
PROD00251,WH001,21,Restock,2024-06-23
PROD00717,WH007,-16,Restock,2024-02-04
PROD00141,WH001,-9,Sale,2023-12-15
PROD00108,WH004,48,Sale,2023-07-07
PROD00508,WH006,14,Restock,2023-04-30
PROD00256,WH005,53,Restock,2024-04-20
PROD00720,WH009,95,Return,2023-01-08
PROD00779,WH001,71,Sale,2023-02-03
PROD00496,WH000,81,Return,2024-03-07
PROD00323,WH003,-17,Return,2024-04-01
PROD00094,WH001,90,Restock,2023-04-28
PROD00742,WH000,-5,Sale,2023-02-19
PROD00562,WH002,44,Restock,2023-10-17
PROD00240,WH003,8,Return,2024-11-04
PROD00138,WH009,73,Sale,2024-05-20
PROD00053,WH003,-29,Return,2023-10-25
PROD00047,WH005,91,Sale,2023-04-17
PROD00191,WH008,81,Restock,2023-02-25
PROD00677,WH005,32,Restock,2023-08-18
PROD00747,WH003,28,Restock,2024-12-15
PROD00538,WH003,75,Return,2023-08-10
PROD00395,WH008,38,Return,2023-11-19
PROD00612,WH003,29,Restock,2023-07-13
PROD00356,WH003,75,Return,2023-06-17
PROD00427,WH006,37,Restock,2024-02-06
PROD00278,WH005,-23,Restock,2023-04-12
PROD00660,WH006,3,Return,2024-12-04
PROD00012,WH004,2,Restock,2024-09-27
PROD00550,WH007,-20,Sale,2023-02-19
PROD00190,WH001,25,Restock,2024-01-31
PROD00211,WH008,0,Return,2024-02-05
PROD00237,WH007,81,Sale,2023-10-29
PROD00443,WH001,13,Return,2024-12-07
PROD00097,WH007,23,Sale,2024-08-28
PROD00782,WH006,23,Restock,2023-09-07
PROD00067,WH002,-15,Restock,2024-05-24
PROD00490,WH002,96,Sale,2024-05-14
PROD00628,WH000,-43,Sale,2024-10-13
PROD00405,WH005,-35,Restock,2024-02-03
PROD00699,WH009,63,Return,2023-03-31
PROD00465,WH007,-10,Sale,2023-01-04
PROD00788,WH003,98,Return,2024-04-25
PROD00503,WH003,-43,Sale,2023-01-15
PROD00400,WH002,-20,Sale,2023-01-21
PROD00745,WH004,-43,Return,2024-09-14
PROD00241,WH007,-36,Sale,2023-06-18
PROD00448,WH009,-30,Return,2023-01-03
PROD00252,WH008,84,Return,2024-05-15
PROD00554,WH007,44,Return,2023-02-06
PROD00304,WH004,2,Restock,2024-04-30
PROD00320,WH006,-41,Sale,2024-02-25
PROD00266,WH009,22,Restock,2023-12-05
PROD00336,WH000,-41,Sale,2023-02-11
PROD00706,WH003,-50,Sale,2024-09-02
PROD00373,WH004,84,Return,2023-10-16
PROD00642,WH000,86,Sale,2024-07-24
PROD00654,WH004,-37,Return,2023-02-27
PROD00200,WH003,67,Sale,2023-06-02
PROD00273,WH007,88,Return,2023-01-03
PROD00309,WH005,-8,Sale,2024-02-07
PROD00573,WH007,42,Sale,2024-05-19
PROD00251,WH006,23,Return,2024-03-10
PROD00371,WH000,66,Return,2023-11-17
PROD00789,WH002,-33,Return,2024-03-31
PROD00652,WH008,10,Restock,2024-04-14
PROD00109,WH006,62,Restock,2024-11-11
PROD00430,WH003,-45,Sale,2023-08-23
PROD00166,WH004,-26,Restock,2024-10-06
PROD00290,WH008,-6,Sale,2024-05-18
PROD00118,WH003,16,Restock,2023-09-22
PROD00347,WH009,-16,Restock,2023-11-02
PROD00712,WH007,-37,Return,2023-02-13
PROD00670,WH001,-8,Restock,2023-09-27
PROD00629,WH006,-2,Sale,2023-08-14
PROD00529,WH009,63,Restock,2024-10-08
PROD00055,WH003,99,Return,2023-10-31
PROD00429,WH004,39,Restock,2023-06-27
PROD00262,WH008,81,Restock,2023-02-07
PROD00319,WH001,-17,Restock,2024-05-23
PROD00189,WH007,11,Sale,2023-06-15
PROD00439,WH007,41,Return,2024-05-17
PROD00245,WH001,29,Sale,2023-04-17
PROD00563,WH000,46,Return,2024-07-29
PROD00040,WH009,13,Restock,2024-05-12
PROD00707,WH006,75,Return,2024-05-10
PROD00482,WH007,80,Return,2024-09-08
PROD00276,WH000,97,Sale,2023-06-03
PROD00057,WH008,43,Return,2024-03-08
PROD00299,WH002,6,Sale,2023-08-15
PROD00563,WH007,69,Return,2023-06-06
PROD00570,WH008,-32,Restock,2023-04-06
PROD00626,WH003,88,Sale,2023-10-07
PROD00105,WH000,50,Sale,2024-01-05
PROD00506,WH006,86,Return,2023-02-16
PROD00381,WH000,30,Sale,2024-06-27
PROD00424,WH000,92,Sale,2024-02-09
PROD00028,WH003,43,Sale,2023-01-07
PROD00682,WH006,-15,Return,2024-09-05
PROD00645,WH003,88,Return,2024-07-31
PROD00347,WH003,58,Sale,2024-02-18
PROD00505,WH005,-31,Restock,2023-09-29
PROD00202,WH000,-35,Sale,2023-12-20
PROD00623,WH009,-44,Restock,2024-02-17
PROD00028,WH000,-43,Return,2023-01-07
PROD00752,WH005,33,Return,2024-05-08
PROD00181,WH009,54,Return,2023-04-27
PROD00016,WH002,47,Restock,2024-11-24
PROD00072,WH003,62,Restock,2024-11-17
PROD00347,WH006,78,Return,2023-11-12
PROD00118,WH004,88,Restock,2023-05-27
PROD00150,WH006,11,Sale,2024-07-13
PROD00586,WH001,96,Restock,2023-01-26
PROD00574,WH003,0,Return,2024-03-19
PROD00721,WH009,-11,Sale,2024-07-14
PROD00793,WH005,-24,Sale,2024-12-23
PROD00601,WH001,29,Return,2023-06-09
PROD00616,WH006,74,Return,2024-05-17
PROD00629,WH001,73,Sale,2024-09-18
PROD00115,WH002,-44,Sale,2024-10-29
PROD00554,WH006,100,Sale,2023-08-01
PROD00448,WH003,-24,Sale,2024-06-26
PROD00735,WH005,-24,Sale,2024-05-22
PROD00699,WH004,-45,Return,2023-12-13
PROD00622,WH007,-30,Return,2024-06-15
PROD00244,WH008,-36,Return,2023-11-26
PROD00569,WH008,-15,Restock,2023-12-21
PROD00040,WH002,-14,Return,2024-08-21
PROD00754,WH005,91,Sale,2023-04-02
PROD00779,WH001,-27,Return,2024-07-22
PROD00323,WH006,76,Restock,2023-08-29
PROD00098,WH009,16,Return,2024-09-24
PROD00002,WH008,10,Restock,2023-12-07
PROD00198,WH001,7,Restock,2024-02-27
PROD00416,WH001,18,Restock,2023-06-25
PROD00372,WH004,46,Sale,2023-06-02
PROD00144,WH006,86,Return,2023-04-13
PROD00536,WH001,31,Sale,2024-10-06
PROD00454,WH001,86,Return,2023-03-07
PROD00290,WH003,-38,Restock,2024-05-22
PROD00701,WH000,-27,Sale,2023-03-01
PROD00570,WH005,-1,Return,2023-05-31
PROD00003,WH001,43,Restock,2024-10-03
PROD00016,WH003,57,Return,2023-06-12
PROD00240,WH004,22,Sale,2024-05-03
PROD00754,WH006,92,Restock,2024-02-19
PROD00733,WH006,-1,Return,2024-07-07
PROD00054,WH002,-48,Sale,2024-10-14
PROD00003,WH005,-40,Restock,2024-05-25
PROD00225,WH007,25,Return,2023-09-14
PROD00338,WH008,58,Restock,2024-01-30
PROD00740,WH007,-46,Return,2023-10-30
PROD00764,WH008,-28,Sale,2024-04-01
PROD00741,WH002,10,Restock,2023-05-04
PROD00673,WH003,54,Restock,2024-03-04
PROD00255,WH003,13,Sale,2023-10-15
PROD00292,WH005,-37,Restock,2024-12-16
PROD00465,WH007,48,Sale,2024-07-03
PROD00341,WH001,-10,Return,2024-05-05
PROD00131,WH006,24,Return,2023-02-20
PROD00006,WH009,8,Restock,2024-12-08
PROD00139,WH000,67,Restock,2023-11-05
PROD00171,WH002,97,Restock,2024-12-30
PROD00260,WH007,68,Sale,2023-10-09
PROD00369,WH008,14,Sale,2023-05-11
PROD00471,WH000,0,Restock,2023-01-03
PROD00792,WH009,67,Sale,2024-02-24
PROD00214,WH002,94,Restock,2023-05-24
PROD00519,WH001,99,Return,2023-03-22
PROD00185,WH007,-43,Return,2024-10-28
PROD00750,WH008,55,Restock,2024-06-22
PROD00653,WH008,-28,Restock,2023-02-05
PROD00719,WH005,0,Restock,2023-04-22
PROD00495,WH000,40,Restock,2024-09-06
PROD00169,WH003,-22,Restock,2023-10-07
PROD00484,WH009,26,Restock,2023-01-01
PROD00325,WH009,14,Restock,2024-09-02
PROD00607,WH009,-50,Return,2023-05-03
PROD00728,WH003,27,Restock,2024-09-09
PROD00572,WH007,83,Sale,2023-04-11
PROD00756,WH008,46,Sale,2023-04-30
PROD00097,WH001,-17,Restock,2024-04-30
PROD00016,WH009,94,Sale,2023-07-09
PROD00659,WH001,-5,Return,2024-04-12
PROD00384,WH006,84,Sale,2023-02-22
PROD00477,WH009,36,Restock,2024-07-06
PROD00648,WH007,75,Sale,2024-06-12
PROD00472,WH005,-12,Sale,2023-06-02
PROD00276,WH007,-29,Return,2024-02-04
PROD00420,WH004,-46,Restock,2023-04-23
PROD00187,WH006,-17,Sale,2024-09-19
PROD00037,WH005,-25,Sale,2024-12-31
PROD00068,WH001,-12,Sale,2023-02-25
PROD00750,WH007,61,Sale,2024-12-10
PROD00357,WH009,61,Sale,2024-02-17
PROD00430,WH004,-38,Sale,2024-09-15
PROD00440,WH004,96,Return,2023-05-22
PROD00538,WH007,66,Restock,2023-10-08
PROD00241,WH003,40,Restock,2023-02-22
PROD00579,WH004,32,Sale,2023-02-19
PROD00395,WH002,-46,Return,2024-08-19
PROD00734,WH001,-26,Sale,2024-06-13
PROD00068,WH008,35,Sale,2024-10-01
PROD00681,WH003,66,Return,2024-01-04
PROD00142,WH004,-16,Return,2024-08-16
PROD00122,WH008,-46,Restock,2023-10-01
PROD00334,WH003,-5,Sale,2023-04-09
PROD00511,WH005,28,Sale,2024-03-06
PROD00066,WH000,-29,Restock,2024-09-17
PROD00235,WH004,97,Restock,2024-07-26
PROD00022,WH004,84,Sale,2024-05-04
PROD00566,WH007,-27,Sale,2024-08-15
PROD00394,WH007,70,Return,2024-06-19
PROD00497,WH003,-34,Return,2023-09-30
PROD00408,WH002,27,Return,2024-06-26
PROD00552,WH005,-20,Restock,2024-05-13
PROD00271,WH008,14,Return,2023-07-24
PROD00025,WH008,-20,Sale,2023-07-06
PROD00629,WH003,71,Restock,2023-02-03
PROD00708,WH003,82,Restock,2024-05-16
PROD00474,WH006,84,Sale,2023-10-04
PROD00355,WH002,81,Return,2024-12-08
PROD00438,WH008,-32,Return,2023-01-11
PROD00642,WH002,31,Return,2024-06-03
PROD00789,WH005,33,Restock,2023-03-19
PROD00035,WH005,11,Restock,2023-06-22
PROD00072,WH007,83,Sale,2024-03-09
PROD00432,WH000,-40,Sale,2023-06-01
PROD00286,WH005,74,Sale,2023-06-25
PROD00075,WH000,57,Return,2024-05-02
PROD00393,WH001,7,Sale,2024-02-25
PROD00438,WH006,-30,Return,2024-04-22
PROD00262,WH008,47,Sale,2024-03-07
PROD00788,WH008,98,Restock,2024-04-08
PROD00288,WH004,10,Restock,2024-04-25
PROD00308,WH004,46,Restock,2023-03-26
PROD00501,WH005,-6,Return,2024-07-16
PROD00232,WH008,-4,Restock,2023-11-08
PROD00457,WH007,-25,Return,2023-06-12
PROD00419,WH005,5,Restock,2023-05-06
PROD00148,WH000,47,Return,2024-08-04
PROD00061,WH008,-31,Restock,2024-09-23
PROD00208,WH000,-20,Restock,2024-04-12
PROD00121,WH005,-43,Return,2024-06-18
PROD00496,WH003,57,Return,2023-12-09
PROD00207,WH005,31,Return,2023-11-28
PROD00614,WH002,-49,Return,2023-02-09
PROD00111,WH009,58,Return,2023-08-28
PROD00719,WH009,-23,Return,2024-08-05
PROD00477,WH007,55,Return,2024-03-02
PROD00316,WH001,-48,Restock,2024-02-22
PROD00795,WH005,71,Return,2024-12-06
PROD00761,WH007,93,Sale,2024-02-20
PROD00219,WH002,-40,Return,2024-06-27
PROD00108,WH005,43,Sale,2023-03-03
PROD00223,WH004,66,Return,2023-11-30
PROD00308,WH004,9,Sale,2023-03-12
PROD00498,WH008,28,Return,2023-08-27
PROD00033,WH008,20,Sale,2023-07-08
PROD00595,WH003,14,Restock,2024-03-26
PROD00477,WH004,-1,Sale,2024-04-10
PROD00095,WH005,96,Sale,2023-08-14
PROD00291,WH005,84,Sale,2023-08-21
PROD00396,WH005,48,Return,2023-05-10
PROD00319,WH003,57,Return,2024-08-07
PROD00252,WH009,93,Restock,2023-10-09
PROD00122,WH002,42,Return,2023-05-04
PROD00587,WH008,-5,Return,2024-01-18
PROD00557,WH000,2,Return,2023-06-27
PROD00738,WH003,89,Sale,2024-10-22
PROD00675,WH008,23,Restock,2024-08-11
PROD00584,WH009,8,Return,2024-10-04
PROD00176,WH008,29,Restock,2023-01-22
PROD00581,WH007,81,Return,2024-12-29
PROD00624,WH001,-50,Restock,2023-08-02
PROD00270,WH002,-9,Sale,2023-06-22
PROD00742,WH005,96,Restock,2024-01-26
PROD00453,WH001,-14,Restock,2024-02-17
PROD00700,WH001,8,Sale,2023-05-27
PROD00560,WH000,0,Restock,2023-10-18
PROD00124,WH004,96,Sale,2023-06-03
PROD00590,WH007,67,Restock,2024-08-07
PROD00775,WH000,44,Sale,2024-06-03
PROD00498,WH006,-12,Restock,2023-06-28
PROD00168,WH005,37,Restock,2024-10-24
PROD00072,WH005,-36,Restock,2023-05-27
PROD00194,WH008,94,Return,2024-01-07
PROD00494,WH003,88,Restock,2023-10-13
PROD00250,WH004,-47,Restock,2023-08-08
PROD00339,WH003,-7,Restock,2024-01-07
PROD00373,WH004,-48,Sale,2023-06-27
PROD00119,WH009,-30,Return,2023-12-17
PROD00653,WH007,29,Sale,2023-09-16
PROD00407,WH006,85,Restock,2024-04-02
PROD00340,WH000,71,Restock,2023-03-01
PROD00791,WH000,-39,Sale,2024-05-04
PROD00219,WH001,0,Sale,2023-10-19
PROD00134,WH009,-50,Restock,2023-04-25
PROD00028,WH006,-21,Return,2024-04-23
PROD00570,WH005,19,Return,2024-06-15
PROD00614,WH006,-16,Restock,2024-01-15
PROD00297,WH001,30,Return,2023-11-03
PROD00769,WH002,82,Return,2023-12-08
PROD00119,WH006,-41,Return,2024-06-24
PROD00286,WH000,-12,Return,2024-02-26
PROD00405,WH000,-37,Restock,2023-04-23
PROD00418,WH000,69,Restock,2023-01-02
PROD00228,WH004,-50,Restock,2023-07-15
PROD00726,WH006,8,Return,2024-03-07
PROD00031,WH009,35,Restock,2024-09-19
PROD00769,WH005,74,Sale,2024-09-14
PROD00772,WH001,71,Restock,2023-07-29
PROD00724,WH006,-9,Restock,2023-11-17
PROD00074,WH007,-15,Restock,2024-09-06
PROD00130,WH002,-25,Restock,2024-08-20
PROD00742,WH009,-47,Sale,2024-02-27
PROD00649,WH004,-4,Return,2024-09-08
PROD00366,WH003,60,Restock,2023-11-22
PROD00105,WH003,45,Restock,2023-04-05
PROD00515,WH006,-24,Sale,2023-09-23
PROD00664,WH009,55,Restock,2024-07-17
PROD00434,WH001,14,Sale,2024-01-14
PROD00697,WH008,75,Restock,2024-05-02
PROD00055,WH007,23,Restock,2024-04-20
PROD00237,WH008,-41,Sale,2023-05-30
PROD00184,WH005,-34,Return,2023-09-15
PROD00639,WH003,-34,Return,2023-07-17
PROD00333,WH000,68,Restock,2024-11-15
PROD00341,WH003,32,Sale,2024-06-24
PROD00029,WH003,97,Return,2023-08-06
PROD00171,WH000,-42,Sale,2023-07-26
PROD00680,WH002,75,Sale,2023-03-26
PROD00428,WH007,-6,Restock,2023-10-10
PROD00609,WH007,81,Restock,2024-03-13
PROD00103,WH002,-43,Return,2024-05-27
PROD00145,WH001,94,Return,2023-01-21
PROD00483,WH007,-21,Return,2023-09-03
PROD00781,WH003,28,Return,2024-06-30
PROD00049,WH009,-45,Return,2024-03-18
PROD00558,WH009,25,Restock,2023-01-08
PROD00220,WH005,41,Restock,2024-01-10
PROD00351,WH009,-13,Sale,2024-07-01
PROD00751,WH004,36,Restock,2024-04-16
PROD00776,WH008,-34,Sale,2024-05-12
PROD00018,WH001,-19,Sale,2024-09-11
PROD00390,WH007,46,Restock,2023-07-07
PROD00730,WH004,41,Sale,2024-12-10
PROD00317,WH008,-50,Sale,2024-12-17
PROD00294,WH002,30,Return,2023-07-13
PROD00330,WH006,54,Sale,2024-08-29
PROD00092,WH007,70,Restock,2024-11-24
PROD00480,WH004,-9,Return,2023-10-07
PROD00346,WH000,75,Restock,2024-09-07
PROD00507,WH005,32,Sale,2023-09-25
PROD00132,WH007,14,Return,2024-01-09
PROD00688,WH000,100,Sale,2023-12-04
PROD00707,WH001,-34,Return,2023-01-01
PROD00329,WH004,12,Sale,2023-03-16
PROD00738,WH006,70,Return,2023-02-14
PROD00374,WH003,-4,Restock,2023-10-28
PROD00398,WH004,81,Sale,2023-01-08
PROD00115,WH001,-33,Return,2024-12-24
PROD00505,WH002,53,Sale,2023-04-10
PROD00600,WH008,37,Return,2023-06-27
PROD00454,WH008,-37,Sale,2023-03-12
PROD00076,WH006,69,Restock,2023-05-06
PROD00136,WH001,12,Return,2023-07-20
PROD00324,WH004,-24,Sale,2023-03-26
PROD00338,WH002,81,Restock,2023-08-27
PROD00259,WH000,-12,Sale,2024-07-06
PROD00656,WH000,-25,Sale,2024-08-24
PROD00300,WH005,71,Return,2023-01-08
PROD00487,WH003,-21,Restock,2023-04-23
PROD00743,WH001,98,Restock,2024-08-10
PROD00154,WH008,49,Sale,2024-05-23
PROD00313,WH008,73,Sale,2024-06-15
PROD00000,WH001,98,Restock,2024-03-04
PROD00330,WH007,1,Restock,2023-09-15
PROD00218,WH000,90,Restock,2023-03-02
PROD00358,WH004,72,Restock,2023-03-16
PROD00401,WH005,-21,Return,2024-05-29
PROD00116,WH007,21,Return,2023-01-20
PROD00035,WH003,16,Sale,2024-06-02
PROD00606,WH005,-12,Sale,2023-06-11
PROD00351,WH006,-11,Sale,2023-08-22
PROD00673,WH001,100,Restock,2023-03-14
PROD00399,WH005,-9,Sale,2024-12-22
PROD00385,WH009,31,Sale,2023-02-20
PROD00038,WH009,15,Restock,2024-06-28
PROD00425,WH004,92,Sale,2023-06-25
PROD00653,WH003,10,Sale,2023-05-16
PROD00682,WH000,-1,Restock,2023-11-26
PROD00780,WH007,-46,Restock,2023-06-02
PROD00568,WH000,94,Restock,2024-11-18
PROD00676,WH004,52,Return,2023-05-06
PROD00449,WH000,-41,Restock,2024-06-28
PROD00244,WH001,11,Sale,2024-09-10
PROD00583,WH001,-29,Sale,2024-09-06
PROD00734,WH002,46,Return,2024-06-13
PROD00250,WH008,-27,Restock,2024-07-07
PROD00566,WH008,75,Return,2024-05-03
PROD00386,WH005,9,Restock,2024-11-29
PROD00437,WH008,70,Return,2024-08-26
PROD00323,WH004,79,Return,2024-08-16
PROD00017,WH004,45,Return,2023-04-24
PROD00180,WH006,73,Restock,2024-04-29
PROD00203,WH006,-23,Restock,2024-05-25
PROD00754,WH009,-18,Sale,2023-03-02
PROD00798,WH005,4,Sale,2023-03-22
PROD00395,WH001,44,Return,2024-12-04
PROD00630,WH002,78,Restock,2024-02-03
PROD00574,WH009,51,Sale,2023-05-11
PROD00571,WH007,-48,Sale,2024-10-23
PROD00781,WH007,37,Sale,2023-07-12
PROD00729,WH001,87,Restock,2023-09-29
PROD00458,WH004,6,Restock,2024-02-01
PROD00412,WH000,59,Restock,2023-07-26
PROD00294,WH007,89,Restock,2024-03-05
PROD00690,WH008,64,Restock,2023-06-30
PROD00136,WH000,-30,Restock,2023-04-26
PROD00573,WH009,1,Sale,2023-05-28
PROD00694,WH009,-15,Return,2023-01-06
PROD00643,WH006,5,Return,2023-12-17
PROD00016,WH004,-31,Sale,2023-06-10
PROD00530,WH002,6,Sale,2024-05-09
PROD00362,WH003,11,Sale,2024-01-13
PROD00036,WH001,-18,Restock,2024-07-01
PROD00342,WH008,43,Sale,2024-01-09
PROD00056,WH004,27,Return,2024-08-16
PROD00505,WH008,-49,Sale,2024-05-13
PROD00720,WH000,17,Return,2023-05-24
PROD00141,WH004,-43,Return,2024-10-26
PROD00796,WH009,39,Sale,2024-08-28
PROD00323,WH009,56,Sale,2024-07-17
PROD00752,WH004,8,Sale,2023-07-07
PROD00690,WH006,85,Restock,2024-12-19
PROD00196,WH008,-10,Sale,2024-01-25
PROD00602,WH003,-25,Restock,2023-04-23
PROD00637,WH002,22,Sale,2023-09-25
PROD00298,WH004,74,Restock,2023-12-25
PROD00689,WH004,32,Sale,2023-12-19
PROD00665,WH002,24,Return,2023-04-06
PROD00126,WH002,79,Sale,2023-12-04
PROD00782,WH009,-20,Return,2024-03-27
PROD00025,WH000,-9,Return,2023-06-15
PROD00634,WH004,51,Return,2023-07-05
PROD00422,WH001,77,Return,2023-10-11
PROD00784,WH003,-38,Sale,2023-03-18
PROD00400,WH009,-19,Sale,2024-05-23
PROD00284,WH008,6,Sale,2023-04-09
PROD00048,WH009,-35,Return,2024-04-14
PROD00499,WH005,29,Restock,2023-11-13
PROD00099,WH005,-18,Restock,2023-08-01
PROD00197,WH003,28,Restock,2023-04-26
PROD00468,WH007,9,Restock,2023-05-11
PROD00460,WH001,95,Return,2023-01-30
PROD00596,WH006,67,Restock,2024-01-08
PROD00060,WH001,32,Sale,2023-01-31
PROD00677,WH007,2,Restock,2024-06-01
PROD00664,WH009,76,Return,2024-11-23
PROD00506,WH009,-34,Restock,2023-01-08
PROD00018,WH006,87,Sale,2024-06-21
PROD00265,WH003,-25,Return,2023-02-23
PROD00665,WH001,-13,Return,2024-06-30
PROD00646,WH006,73,Restock,2023-01-16
PROD00040,WH004,-13,Return,2024-05-31
PROD00692,WH001,21,Restock,2023-01-13
PROD00013,WH004,-15,Restock,2023-07-11
PROD00057,WH000,23,Restock,2023-09-25
PROD00562,WH008,18,Restock,2023-08-01
PROD00188,WH006,16,Restock,2024-07-07
PROD00528,WH000,-28,Sale,2024-11-15
PROD00632,WH007,53,Sale,2024-09-28
PROD00457,WH003,65,Sale,2024-07-08
PROD00467,WH003,64,Return,2023-03-05
PROD00516,WH002,29,Restock,2023-08-12
PROD00263,WH009,-8,Return,2023-09-01
PROD00145,WH003,85,Restock,2023-05-14
PROD00651,WH003,21,Restock,2024-05-04
PROD00497,WH009,35,Return,2023-08-02
PROD00124,WH008,47,Sale,2023-02-06
PROD00444,WH001,35,Return,2024-03-19
PROD00098,WH003,16,Sale,2023-04-12
PROD00446,WH003,79,Return,2023-09-21
PROD00220,WH006,-26,Return,2024-04-19
